print	publication
salute	greeter
scarce	scarcity
offer	bid
rabbit	lapin
impassive	stoicism
respectable	respectability
ram	rammer
splice	splicer
rectify	correction
plunder	spoil
sip	sipper
critical	criticism
buttery	fulsomeness
flat	flatness
rise	advance
berliner	berlin
enclose	confinement
proper	propriety
subcontract	subcontractor
agitate	turn-on
lurch	shutout
hack	hacker
tone	modulation
spot	stain
urge	goad
clear	open
permissive	permissiveness
reform	reformer
brassy	ostentation
originate	origin
install	installation
oblige	obligation
monumental	repository
heavy	moroseness
attendant	attendance
ascetic	austerity
relationship	relative
spike	lace
navigational	seafaring
digest	condensation
bouncy	bounce
account	accountancy
strange	unfamiliarity
antagonistic	antipathy
pubic	pubis
incendiary	incite
bellow	roarer
prolong	prolongation
love	lovingness
misrepresent	misrepresentation
fishy	suspicion
hulk	giant
recognize	recognition
use	habit
want	privation
body	personification
ironic	irony
remake	makeover
sleek	sleekness
excessive	surpass
christian	christendom
revel	reveler
develop	developer
unsuitable	unsuitability
reassure	reassurance
consign	consignment
listen	hearer
serve	service
plume	feather
break	breaker
gap	breach
interpret	rendition
leery	wariness
poor	poorness
sail	bluejacket
count	numeral
antecedent	ancestor
attract	pull
masochistic	masochism
defensive	maintain
vindicate	apologist
labor	hack
behaviorist	behaviorism
applaud	acclaim
writer	write
braid	pleat
wall	environment
attack	attacker
hyperbolic	hyperbola
harmonize	harmony
glow	gleam
execute	execution
extraneous	extraneousness
obtuse	dullness
healthful	healthfulness
absolutist	absolutism
bushy	shagginess
exploratory	research
form	organization
attest	evidence
dot	stud
andalusian	andalusia
gut	intestine
train	homework
stay	delay
trojan	troy
cogent	cogency
discrete	discreteness
monopolistic	monopoly
reduce	concentration
pound	pestle
appease	pacify
wrest	wrester
bad	speculativeness
subscribe	subscriber
methodist	wesleyan
biblical	bible
masonic	freemason
ascendant	rise
faithless	faithlessness
modern	modernity
extend	offer
carve	sculpture
coarse	vulgarize
organize	arrangement
mindful	mindfulness
arable	arability
confuse	confusion
gorge	scoffer
rearrange	rearrangement
ineffective	ineffectiveness
existential	be
harness	rein
craft	trade
concentric	concentricity
congratulatory	preen
motherly	mother
hypnotic	hypnosis
concord	concordance
diverge	divergence
afford	open
announce	announcer
texan	texas
call	telephone
wane	ebb
touch	disturbance
triple	triplicate
publish	issue
buttery	unction
initiate	initiation
evangelist	evangelism
border	edger
understate	minimization
defenseless	defenselessness
theologian	theology
pledge	pledger
scoff	scoffer
consul	consulship
end	conclusion
vouch	vouchee
ageless	perpetuity
dine	dinner
factor	factorization
unequivocal	unambiguity
advance	innovativeness
melt	liquid
wagnerian	wagner
rehabilitate	reclamation
abstract	abstractionist
sign	signature
ruin	destroyer
divisional	division
still	motionlessness
uninteresting	uninterestingness
fallacious	fallaciousness
pick	cream
advise	notification
present	presenter
scramble	clutter
precede	precession
beggar	indigence
bark	barker
pure	purity
moderator	moderatorship
pause	intermission
waterproof	raincoat
messianic	messiah
water	waterer
forbid	veto
vary	change
stringy	wiriness
ballot	vote
propagate	propagator
truthful	truthfulness
apologize	justification
transpire	transpiration
motorist	car
caucasian	caucasia
ascend	ascender
throw	thrower
progressive	progressiveness
flock	troop
screen	blind
grab	catch
give	idolatry
grieve	sadness
fail	breakdown
multiply	multiplier
incurable	incurability
lance	lancet
peninsular	peninsula
snug	coziness
moderate	moderation
grow	acquire
harmonize	harmonizer
elongate	stretcher
immune	resist
hard	severity
formal	formality
fund	finance
seize	grasp
fabulous	legend
twist	braid
stingy	stinginess
pollute	contaminant
fleshy	heaviness
specialize	specialization
partition	zone
acquire	gainer
paraplegic	paraplegia
zest	nip
propel	impulse
confine	detention
chant	chanter
set	venue
unfriendly	hostility
traitor	treason
claim	claimant
place	venue
improbable	improbability
malaysian	malaysia
cover	screen
colonize	colony
confident	confidence
cultivate	crop
dead	unresponsiveness
acknowledge	receipt
portray	portraiture
generative	reproduce
silent	hush
emphatic	exclaim
burdensome	burdensomeness
snort	snicker
instrument	orchestration
lock	lockage
ambiguous	ambiguity
depart	departer
businesslike	seriousness
amuse	comedy
hang	suspension
delusional	delusion
oil	oiler
lovable	love
complain	gripe
disrespect	contempt
call	career
muzzle	muzzler
wallop	walloper
reciprocal	reciprocality
administrative	administer
overflow	overproduction
seedy	seed
turn	turner
cry	crier
incoherent	incoherence
beneficent	beneficence
dirty	dirt
break	discontinuance
correctional	correction
chubby	plumpness
biochemist	biochemistry
relax	rest
libel	defamer
complicate	complication
variant	discrepancy
jurisdictional	jurisdiction
entail	implication
procure	procurement
extravagant	prodigal
confess	confessor
flaw	defect
nettle	urtication
bite	burn
vary	variation
genuine	authenticity
migrate	migrant
program	schedule
tailor	seam
skateboard	skateboarder
measure	evaluation
man	valet
bide	residency
feisty	gutsiness
end	destination
elaborate	exposition
welsh	wale
retract	retractor
tire	wear
altruistic	selflessness
coastal	seashore
equal	equality
despicable	baseness
queer	riskiness
purify	distillate
critical	criticality
southerly	southernness
bum	shabbiness
viral	virus
see	opinion
digitize	digitizer
angelic	pleasantness
recruit	levy
shroud	pall
bohemian	bohemia
surround	environment
shady	shade
trap	immobilization
spy	snoop
deserve	worth
nascent	birth
upland	highland
adamant	adamance
coast	coaster
kinetic	kinesis
incite	fomentation
wicked	nefariousness
costly	price
head	leader
constituent	constitute
include	inclusion
shrimp	prawn
separate	partition
present	presence
bolshevik	bolshevism
crafty	trickery
protective	protectiveness
babble	chatterer
punch	puncher
favorable	favorableness
fat	productiveness
generalize	generalization
nigerian	niger
inaugurate	begin
extremist	extremism
chill	scare
dethrone	deposition
excavate	dig
heave	heaver
journalist	journalism
bring	conveyer
photography	photograph
still	reliever
sparkle	coruscation
confuse	bewilderment
trip	slip
countless	multitudinousness
curious	curiousness
pop	popper
lift	aggrandizement
delete	deletion
reorganize	reorganization
get	acquirer
abhorrent	repel
behave	bear
fowl	fowler
antagonistic	hostility
choke	choker
rank	richness
fluent	smoothness
balance	balancer
bahamian	bahamas
collaborative	collaborate
carbonate	carbonation
officiate	umpirage
confirm	confirmation
stand	standee
fawn	sycophant
christian	jesus
letter	letterer
introduce	presenter
command	commander
disturb	worry
tempt	invitation
municipal	municipality
spike	fortification
adulterous	adultery
detach	detachment
stick	spine
likely	likelihood
rough	roughness
dorsal	back
austere	sternness
reach	liaison
load	cargo
dissident	dissenter
tug	energy
cold	triteness
regret	sorrow
inhibit	suppression
corrode	rust
slope	inclination
starry	star
fluoresce	fluorescence
rebel	rebellion
essential	essentiality
afghani	pashto
distribute	dispenser
sledgehammer	maul
attendant	result
lavender	lilac
tie	draw
missionary	deputation
bet	gamble
test	examination
stimulate	energy
specialist	specialism
mark	marker
equal	counterweight
assume	usurpation
divergent	divergence
dorsal	dorsum
ownership	owner
icky	bullshit
sail	cruise
torture	torturer
settle	colony
himalayan	himalaya
slant	pitch
impressive	impress
reconstructive	restore
enroll	registration
subcontract	job
gamble	gambler
shield	cover
exploratory	explore
assign	assignment
talk	verbalization
indemnify	indemnity
bloom	flower
detail	elaborateness
choral	chorus
light	barge
indeterminate	indefiniteness
override	preponderate
crafty	dodger
bond	alliance
pluck	pick
accept	adoption
consider	deliberation
cheek	impudence
age	longevity
detect	discovery
rare	uncommonness
tweak	pinch
confront	boldness
docile	docility
travel	locomotion
pale	paleness
cloudy	cloud
iconoclastic	iconoclasm
convert	converter
pet	caress
remain	end
fudge	finagler
name	identification
dull	dullness
privilege	prerogative
reader	readership
interrogate	inquisitor
prosecute	prosecution
spell	significance
meet	fill
impersonal	disinterest
insincere	insincerity
load	adulterant
tie	binder
reason	rationality
hesitate	pause
ascend	rise
accept	acceptation
spike	ear
resemble	resemblance
daze	grogginess
hyperbolic	hyperbole
condition	conditioner
support	back
retaliatory	revenge
recluse	reclusiveness
store	storage
cast	mold
common	commonness
harsh	severity
orbital	orbit
electrify	electricity
lag	slowdown
falsify	deflection
erroneous	erroneousness
molecular	atom
bankable	bank
maximize	utmost
age	agedness
encroach	invasion
withhold	withholder
gymnastic	gymnastics
step	footprint
hurl	cast
restore	renovation
purposeful	purposefulness
verse	poet
territorial	territoriality
compress	constrictor
expect	expectation
homicidal	homicide
photographic	photography
wash	washer
battle	combatant
voice	sonant
stoic	stoicism
score	marker
prevail	predomination
steer	bear
harass	instigator
abominable	abhorrence
casual	casualness
trip	tripper
resurrect	resurrection
monopoly	monopolist
confuse	discomfiture
stipulate	specification
wrench	spin
pale	lividness
jet	fountain
burn	incinerator
dowdy	dowdiness
blueprint	draft
smart	brightness
spurt	jet
legislate	enactment
identify	identification
swank	chic
antique	antiquity
circuit	tour
brawl	wrangler
expedient	opportunism
politician	politics
vicar	vicariate
energetic	energy
pollute	contamination
detail	contingent
publish	publisher
insular	insulation
homogeneous	homogeny
regular	regularity
hale	wholeness
skipper	master
scrape	scraper
perceptive	insight
oblige	bind
trail	trailer
promote	promoter
informative	inform
treat	treatment
incongruous	incongruity
hex	enchantress
like	likeness
scuffle	hassle
celestial	quintessence
shout	cry
rate	evaluation
reactive	reactivity
religious	religion
pry	lever
reptilian	reptile
eminent	eminence
impede	hindrance
aggressive	belligerence
roll	roller
stooge	butt
contribute	subscriber
prefix	prefixation
gravitational	gravity
illustrious	greatness
erect	verticality
interpret	interpreter
barometric	barometer
model	sit
blasphemous	sacrilegiousness
puffy	swell
common	usualness
pull	draft
endless	endlessness
rigorous	strictness
harmonious	consonance
grate	grater
home	dwell
kill	eradication
ascetic	abstainer
reality	realist
tire	hack
merciless	cruelty
watery	wateriness
ignore	snub
melodious	music
arch	curvature
shear	shearer
enliven	vivification
heavy	burdensomeness
critical	critic
commend	approval
posterior	buttock
type	typewriter
abort	abortion
legato	smoothness
jag	jaggedness
agile	adeptness
glacial	glaciation
criminal	felony
fluctuate	waver
concoct	concoction
crazy	folly
archivist	archive
stool	toilet
populate	dwell
administer	dispensary
close	shutter
raid	foray
sterilize	neuter
draw	draftsman
affirm	assertion
promulgate	promulgation
quote	citation
ferment	zymosis
persistent	lastingness
sapphire	azure
hypnotize	hypnotist
saboteur	diversion
feasible	executability
legislator	legislatorship
haul	draw
natural	naturalness
accumulate	accumulation
black	infamy
exude	exudate
repetitive	recur
glaze	radiance
point	cursor
exuberant	profusion
recruit	recruitment
stun	stupefaction
rant	rave
blast	shoot
antiseptic	asepsis
surly	temper
rickety	shake
call	caller
republish	republication
commute	exchange
preach	advocacy
falter	hesitation
angular	angle
analyze	dissection
creepy	creepiness
ephemeral	brevity
roll	flap
amateurish	amateurishness
disintegrate	decay
react	reactant
concede	profession
together	togetherness
snip	pruner
dry	prohibition
defray	payment
guilty	guilt
localize	focalization
flank	flanker
destroy	destruction
elaborate	elaboration
buckle	clasp
light	illumination
annual	year
monthly	month
protect	protection
foul	stain
escape	escapist
busy	occupation
slap	slapper
service	overhaul
despotic	tyrant
poor	poverty
appropriate	capture
convict	conviction
buzz	buzzer
blend	fusion
tug	tugboat
placid	smoothness
affirm	avowal
stool	tiller
untie	undoer
continuous	continuousness
borrow	borrower
plumb	bathymetry
irregular	abnormality
volatile	volatilize
crave	hunger
wail	whimper
feel	spirit
sketch	sketcher
magnify	magnitude
rest	breath
basal	basis
back	support
facial	face
rotate	rotation
gaseous	gas
traverse	cross
chute	parachutist
evolve	development
blackmail	pressure
tithe	tither
import	importer
invade	invasion
gastric	abdomen
report	explanation
feign	pretense
botch	fluff
bawdy	ribald
obliterate	annihilation
glum	moroseness
precipitate	precipitation
vow	consecration
cozy	informality
enigmatic	mystery
account	calculation
blue	prude
aboriginal	aborigine
encroach	violation
prophesy	prophet
immediate	immediacy
injectable	inject
name	designation
pigment	pigmentation
hairdresser	hairdo
grumble	growler
exclusive	bar
head	headship
enormous	enormity
deal	hand
depressant	sedative
be	organism
shadow	shade
roll	straggler
grieve	sorrow
interview	interviewer
saturate	purity
melodious	melodiousness
clarify	elucidation
aerodynamic	aeromechanics
unjust	injustice
involve	involvement
skipper	captain
collateral	verify
moderate	moderator
spousal	spouse
debatable	trouble
polygamy	polygamist
autumnal	fall
contend	fight
bombard	barrage
infiltrate	percolation
insecure	insecurity
scallop	cutlet
harden	sclerosis
elder	eldership
grind	molar
chunky	squatness
search	seeker
synchronize	synchronization
promise	promisee
gelatinous	gelatin
improvise	makeshift
enumerate	detail
permeate	dispersion
destroy	ruin
quote	quotation
specify	determinant
gladden	joy
cordial	amity
alibi	excuse
invalidate	nothingness
beg	beggary
lodge	lodgment
phonetic	phonetics
review	retrospection
venetian	venice
give	givenness
sanitary	sanitariness
evert	eversion
eject	expulsion
judge	trial
devolve	degeneration
unaware	unknowingness
index	indexer
interrupt	interrupter
scaly	scale
elusive	elusiveness
squirt	expulsion
observe	observation
share	partaker
noisy	noise
rickety	rachitis
emanate	emanation
chadian	chad
concentrate	assiduity
devious	deceptiveness
innocent	blamelessness
genetic	genetics
regiment	regimentation
nutritional	nutriment
nourish	nutriment
transport	dispatch
knife	stab
replace	substitute
anomaly	anomalist
valuable	invaluableness
hurt	ache
lace	lacer
portly	corpulence
psychologist	psychology
lecture	lecturer
function	operation
tempt	solicitation
foment	fomentation
indistinct	indistinctness
sow	seed
flammable	flammability
web	network
examiner	inspectorship
alter	spay
blame	incrimination
lounge	sofa
route	path
wavy	wave
burn	fire
oceanic	ocean
braid	lace
unlikely	unlikelihood
fallacious	fallacy
drive	impel
hope	promise
coerce	imperativeness
check	catch
strangle	choke
defiant	defiance
absolve	clarity
pluck	pinch
excite	energy
conduct	lead
shape	formation
stimulate	excitation
cute	preciosity
legitimate	legitimation
musician	music
belly	roundedness
balance	equilibrium
operate	operation
enter	entrance
press	urge
blast	bang
marry	marriage
tie	evenness
tap	rap
suck	sucker
dissolve	solvent
auspicious	auspiciousness
relate	relatedness
engineer	locomotive
leaky	escape
pollinate	pollination
adjourn	respite
belgian	belgium
worldly	worldliness
prince	principality
belly	protuberance
clear	elucidation
contemptuous	condescension
populate	population
suppress	inhibition
mobilize	circulation
rusty	rust
learn	discovery
credit	recognition
harry	ravage
gripe	crab
macedonian	macedonia
attractive	attract
preach	advocate
wallpaper	paper
pay	payer
falter	waverer
estonian	estonia
full	fullness
artistic	artist
low	depressor
expressive	express
substitute	substitution
slender	slenderness
selective	selectivity
dramatize	dramatization
haitian	haiti
infectious	infection
exemplify	example
modify	modification
firm	steadiness
cook	cooker
balloon	balloonist
severe	severity
national	nationality
drink	alcoholic
acute	acuteness
deduce	derivation
diversify	diversification
choreograph	choreographer
inconsiderate	inconsideration
atypical	atypicality
lean	meagerness
replaceable	replaceability
assign	specification
raise	leaven
amenable	tractability
convulsive	convulse
wheel	wheeler
verbal	verb
dramatic	drama
contagious	contagion
tend	care
meet	gather
wooden	woodenness
assure	assurance
understate	unpretentiousness
sweet	sweetness
demonstrative	prove
fix	rigidity
salt	salter
variant	vary
shadow	darkness
fiddle	violinist
stand	position
read	reader
remember	memory
meet	encounter
correct	correctness
countless	battalion
rid	elimination
alien	strange
altruistic	altruism
invade	occupier
grow	agriculturist
boisterous	boisterousness
intend	intention
mimic	mime
decide	settler
hex	enchanter
functional	functionality
pacify	pacification
refrain	forbearance
magnetic	magnet
pollinate	pollinator
bumble	hesitation
natural	innateness
modal	mode
stretch	reach
shape	constitution
improvise	extemporization
indefinite	indefiniteness
resist	holdout
gangster	gang
collar	apprehension
humble	humbleness
condense	condenser
allow	granter
generous	generosity
opine	opinion
corrupt	spoliation
autistic	autism
crop	grazier
guess	guesser
supernatural	supernaturalism
angelic	angel
atheistic	atheism
keep	preservation
categorize	classification
total	summation
omnipresent	ubiquity
smother	suffocation
disable	disability
renew	tonic
serve	attendant
derivative	derive
skewer	spit
exemplify	exemplification
force	campaign
deflect	deflector
tear	snap
revolve	rotation
ecological	ecology
stagnate	stagnation
codify	codification
equate	equation
bumble	stammerer
hit	contact
abhorrent	disgust
foreground	highlighter
predict	forecaster
weak	weakness
call	ring
curse	damnation
tease	tantalizer
demonic	unholiness
brackish	brininess
forgetful	forgetfulness
sweep	broom
umbilical	navel
remove	withdrawal
raw	tenderness
theocratic	theocracy
keynesian	keynes
short	improvidence
arrange	agreement
heavy	heft
verify	verification
mention	mentioner
mention	citation
authoritarian	imperiousness
hairless	hairlessness
boastful	brag
inappropriate	inappropriateness
whine	screech
reach	attainment
duel	dueler
feeble	infirmity
bombastic	turgidity
defender	care
decay	decadent
rent	lease
encourage	encouragement
incompetent	incompetence
emit	emitter
remove	removal
digest	digestion
fantastic	wonder
search	searcher
neat	tidiness
superficial	superficiality
cometary	comet
prone	proneness
skirmish	skirmisher
trail	train
consign	commitment
abrogate	abrogator
think	cogitation
effect	effecter
irish	ireland
discover	discovery
improvise	improvisation
contend	fighter
godless	irreverence
retrospective	review
presidential	presidency
middle	center
govern	rule
eliminate	destruction
psychic	soul
psalm	psalmist
contemptuous	contempt
scheme	connivance
distinct	otherness
hunt	hunter
arrive	arrival
comment	notice
emblematic	emblem
buzz	doorbell
percussionist	percussion
methodist	wesley
argue	argumentation
conspire	collusion
crude	crudeness
digestible	digest
heavy	profoundness
corrode	corrosion
chronicle	history
electoral	election
dress	apparel
refuse	declination
perform	actor
infective	pathogen
characterize	quality
clerk	bookkeeping
cut	carve
actual	actuality
oncologist	oncology
reclaim	reclamation
satirize	parody
trade	merchandise
haul	hauler
neighbor	vicinity
enclose	enclosure
barb	seta
obstruct	blockage
rectify	redress
connect	connection
unify	fusion
pose	impersonator
export	exporter
filter	strainer
inexperienced	inexperience
hydrate	hydration
action	summon
pertinent	applicability
jeweler	jewel
wall	palisade
compact	compaction
invade	infestation
rave	effusion
wallow	rejoice
speculate	supposition
monstrous	freak
fleet	moment
quiver	quaker
actual	literalness
channel	canal
reciprocate	reciprocation
flat	blandishment
close	blockage
vital	vitalness
achieve	accomplishment
satisfy	satisfier
small	smallness
president	chairmanship
impatient	impatience
form	component
culminate	completion
float	flotation
visualize	effigy
predominate	preponderance
dependable	dependability
illustrate	illustrator
patent	patency
stuff	taxidermist
fawn	truckle
bring	transportation
easy	profligacy
fictional	fiction
therapist	therapy
record	tape
sweat	perspirer
romanian	romania
color	darkness
close	secrete
amniotic	amnion
easy	slatternliness
brother	brotherhood
save	economy
preemptive	preempt
pacify	comforter
invalidate	nullification
transport	transportation
unresolved	noise
administer	dispensation
marginalize	marginalization
analogous	analogy
stem	stemmer
disengage	withdrawal
warehouse	warehouser
amend	amendment
repeat	restatement
disassociate	dissociation
nibble	nybble
drink	swallow
clog	congestion
sparkle	twinkle
palsy	paralysis
grade	gradation
provide	provision
port	porter
tenable	reasonableness
scatter	dust
extricate	unsnarl
warehouse	reposit
shock	indignation
enjoy	enjoyment
guitarist	guitar
observant	notice
blunt	starkness
reluctant	reluctance
deck	floor
auxiliary	subordinateness
gravelly	pebble
categorical	class
nip	clip
careful	economy
try	attempt
incur	incursion
whale	whaler
general	generalization
settle	colonization
propose	proposal
cameroonian	cameroon
frequent	haunt
pace	step
bowl	bowler
digestible	digestibility
leery	suspicion
instrument	instrumentality
courtly	stateliness
designate	designation
type	typist
deprive	pauperization
separate	watershed
consummate	maestro
become	decency
tumble	tumbler
plural	plurality
count	matter
dry	dispassion
cohesive	coherence
continuous	continuity
swear	oath
bulky	bulk
mournful	mournfulness
edible	edibility
avid	ardor
challenge	rival
chariot	charioteer
rear	rearward
durable	lastingness
loosen	relaxation
tonal	key
invalidate	invalidator
abstract	abstractor
subscribe	support
inactive	inactiveness
sublime	sublimity
impart	conduction
inactive	inaction
sunburn	tan
trash	rubbish
publish	release
dilate	dilator
indulge	luxury
grind	land
lunatic	lunacy
company	companion
devolve	degeneracy
embrace	inclusion
spank	paddle
swim	swimmer
predictive	prognosis
prepare	trainee
serviceable	serviceability
alien	foreigner
open	orifice
complete	finish
broad	enormousness
sufficient	enough
burst	split
captive	captivity
big	bounty
deplete	lowness
siberian	siberia
persecute	oppressor
backward	denseness
rickety	wobble
recommend	recommendation
fix	ready
introduce	acquaintance
thin	dilutant
concede	confession
glamorous	glamor
operate	run
incriminate	incrimination
discriminate	differentiator
chancellor	chancellorship
determine	influence
propose	suggestion
withdraw	drawee
counselor	counselorship
assemble	gather
sugary	sugariness
excellent	excellence
insignificant	insignificance
board	boarder
debate	deliberation
specify	particularization
licentious	license
war	warrior
dally	flirt
combustible	burn
carpenter	carpentry
transgress	violator
peddle	peddler
bumpy	bumpiness
spray	atomizer
shorten	shortener
congregate	congregation
rock	sway
sudden	abruptness
levy	imposition
clandestine	underground
dismiss	disregard
deteriorate	deterioration
spot	spotter
taciturn	reserve
postulate	postulator
concentrate	focus
spare	trim
award	grantee
advise	tell
assail	rape
sour	vinegar
tell	relation
compliant	comply
chewy	chew
dispose	disposal
qualify	qualifier
presidential	president
compassionate	compassion
solid	solidity
attendant	accompaniment
crab	crankiness
unionize	unionization
ancestral	birthright
messy	mess
play	plaything
prod	instigator
barb	prickliness
slug	slugger
swear	swearer
superior	transcendence
stabilize	stabilizer
inject	injection
torture	crucifixion
captain	captainship
immunological	immunology
relax	easiness
restrict	restrainer
awkward	inaptness
forage	eatage
joint	articulation
tumble	spill
cover	extent
hold	garter
offer	offerer
consult	adviser
squat	squatness
ample	profusion
infuriate	craze
harass	harasser
terrorize	terrorization
chase	trail
curious	foreignness
revise	revision
drink	drinker
recover	restitution
forbid	prohibition
master	command
teach	education
sled	sledder
control	restrainer
coincide	accompaniment
train	track
strengthen	fortification
roll	hiker
commemorative	commemorate
commandeer	piracy
leader	leadership
bind	margin
slovakian	slovakia
interstitial	interstice
ministerial	minister
chant	intonation
even	regularity
inhale	inhalant
torment	anguish
anxious	restlessness
suburban	suburbanize
burp	belch
red	scarlet
bare	bareness
muster	conscription
embarrass	abashment
psychedelic	psychedelia
testify	evidence
fiery	fieriness
formidable	formidability
suffocate	asphyxia
attendant	resultant
decode	decoder
coincident	coincide
able	ability
global	earth
insidious	perniciousness
boo	hiss
daily	day
unsavory	disgustingness
unavailable	inaccessibility
conspire	conspiracy
blend	mix
lieutenant	lieutenancy
rationalize	systematization
drum	drummer
get	acquire
bear	pallbearer
homestead	squat
asian	asia
watch	lookout
dead	deadness
algerian	algeria
unknown	strange
prefer	preferment
paternalistic	paternalism
monochromatic	monochromacy
rewrite	redact
indicate	cursor
cranky	testiness
distant	farness
diseased	pathology
mindless	inanity
perceptible	perceptibility
unconvincing	flimsiness
earthy	earth
dissolve	thaw
mortuary	morgue
quarrel	combatant
homoerotic	homosexuality
insert	enclosure
terrify	terrorization
fund	support
fink	deserter
take	pick
ornithologist	ornithology
transpose	transposition
fee	self-feeder
alive	animation
refute	rebutter
sharpen	taper
academic	pedantry
bill	poster
reduce	cutback
chatter	balderdash
reap	crop
reach	contact
rub	scabies
unstable	instability
recluse	hermit
moonshine	bootlegger
buggy	bugginess
mutiny	mutineer
poetic	poet
chill	frisson
disagree	dispute
cuban	cuba
irregular	maverick
hallucinogenic	hallucinogen
support	patron
relax	liberalization
downright	downrightness
thrill	thriller
see	eyesight
patronize	trade
grade	scorekeeper
dreamy	dream
unique	singularity
homicidal	murderousness
score	hit
vacant	vacate
call	birdcall
reasonable	reasonableness
illustrate	illustration
drowsy	yawn
appoint	appointment
prepare	train
troublesome	troublesomeness
discipline	trainee
polar	pole
motive	motor
explore	exploration
disturb	disturbance
probationary	provision
hurt	detriment
black	calamity
integrate	incorporation
philosopher	doctrine
fly	flight
glad	gladness
minor	smallness
elaborate	exponent
unite	combine
catalyze	catalyst
motivate	incentive
chase	chaser
changeable	inconstancy
warn	warner
weighty	weight
adversary	antagonism
unresolved	disharmonize
innovative	initiation
union	federal
intrigue	fascination
imitate	copy
waste	thriftlessness
redefine	redefinition
draftsman	draw
voluntary	volunteer
arise	riser
age	senesce
constructive	constructiveness
shelve	shelver
subside	dreg
focal	focus
fabulous	mythology
congratulate	congratulation
gory	sanguine
hide	concealment
originate	originator
pharaonic	pharaoh
port	larboard
dilate	distention
excite	energizer
accept	credence
liberalize	liberalization
grateful	gratefulness
run	course
testimonial	tribute
steer	usher
purse	wrinkle
cosmetic	decoration
deductible	withhold
precious	costliness
generational	generation
clairvoyant	clairvoyance
clear	legibility
bleak	bleakness
humor	indulgence
contribute	contribution
scoff	jeer
buy	purchase
attend	attendance
zest	spiciness
moderate	lead
consume	wastrel
break	downheartedness
fashionable	chic
whiff	whiffer
audit	scrutiny
liquid	fluidity
concede	cession
soft	softness
squelch	put-down
adaptable	adaptability
realize	realization
win	winner
throng	batch
physiologist	physiology
refer	reference
rave	raver
polar	polarity
glorify	idealization
regurgitate	regurgitation
amino	amine
consume	prodigal
awkward	awkwardness
weld	welder
crystalline	pellucidness
detectable	perceive
raft	raftsman
volcanic	volcano
destructive	destroy
corrupt	libertine
downy	downiness
return	rejoinder
raucous	shrillness
minimize	minimum
tick	watch
foreground	highlight
dry	sarcasm
sleep	sleeper
gravitational	gravitate
probationary	probation
call	cry
offset	counterbalance
ameliorate	good
elect	choose
hawk	falconer
psychotherapist	psychotherapy
scrappy	scrappiness
pour	stream
alternate	surrogate
bridal	bride
separate	separatist
waste	overflow
overturn	upset
monogamy	monogamist
brotherly	brother
pronounce	label
tremor	earthquake
hostile	hostility
raven	predation
rational	rationality
chauvinistic	chauvinism
entrepreneur	enterprise
sacrifice	sacrificer
stool	defecator
loose	looseness
dribble	dropper
clog	clot
visualize	fancy
subservient	subservience
moldovan	moldova
black	iniquity
ignorant	ignorance
warn	admonisher
rest	respite
mandate	mandator
kindle	ignition
flush	bloom
lousy	louse
imbue	hue
elongate	elongation
technician	technique
redemptive	redemption
freehold	freeholder
infinitesimal	diminutiveness
travel	journey
serious	seriousness
whistle	whistler
overcast	cloudiness
petition	request
hearty	vigor
hideous	loathsomeness
canvass	poll
anomalous	anomaly
educational	education
permeate	diffuse
glide	slide
geriatric	geriatrics
gut	gutter
catalogue	catalog
clement	mildness
glitter	flicker
throw	jab
wear	clothe
form	constitution
discontinue	cease
thematic	theme
border	boundary
placid	placidity
blister	vesiculation
contaminate	contaminant
impregnable	invulnerability
contest	contester
fester	pu
lock	locker
credible	believe
slime	sludge
tolerate	toleration
round	roundness
testify	attestation
confrontational	confrontation
french	frog
happy	happiness
pay	payee
erase	erasure
analyze	analysis
rare	rarity
liberate	liberator
classify	classifier
learn	skill
humanistic	humanism
manipulate	handle
risk	hazard
mariner	seamanship
launch	launcher
sure	assurance
quarry	pit
distribute	distribution
gay	hilarity
arsonist	arson
abdicate	abdication
unselfish	unselfishness
graduate	alumnus
cool	coolness
hook	solicitation
transgress	transgression
compress	compression
bartender	mixology
reliable	dependability
talk	mouthpiece
groan	groaner
dry	desiccant
slender	delicacy
route	road
presuppose	presupposition
relate	relation
accept	acceptance
gag	suffocation
exhaust	discharge
connective	associate
manage	care
valiant	heroism
locomotive	travel
unsound	unsoundness
presidency	president
ageless	eternity
associate	colligation
configure	configuration
press	cheer
choice	fineness
bantam	diminutive
glacial	glacier
applicable	applicability
patch	mend
veto	negative
coerce	power
seduce	seduction
purify	distillation
repair	haunt
easy	gradualness
backfire	backlash
revolutionize	revolution
devilish	prankishness
analyze	examen
supervisory	oversee
go	procedure
impound	pound
arrogant	ego
count	dependence
tilt	joust
satisfy	gratification
want	wanter
barbarous	savageness
hill	mound
barricade	block
tie	tier
embrace	encompassment
receptive	receive
parallel	analogue
overlord	mastership
stride	pace
splat	spatter
tubal	tube
suppress	suppressor
discontinue	cessation
profane	profaneness
diplomatic	diplomat
fungal	fungus
delegate	deputation
cool	chilliness
crook	curvature
dear	earnestness
adjunct	assistant
slice	piece
think	thinker
childhood	child
vote	voter
groan	whiner
unify	whole
maim	mutilator
divide	divider
arm	armament
convertible	convert
etch	etcher
hex	witch
pinch	squeeze
exhaustive	thoroughness
control	command
master	mastership
hop	skip
impressionist	impressionism
theorist	hypothesis
extract	extraction
bony	bone
abundant	abundance
cloudy	cloudiness
represent	interpreter
want	lack
